bnumber	symbol	synonyms	type
b0187	yaeR	ECK0186	protein-coding
b0175	cdsA	ECK0174|cds	protein-coding
b0184	dnaE	ECK0183|polC|sdgC	protein-coding
b1681	sufD	ECK1677|ynhC	protein-coding
b0200	gmhB	ECK0200|yaeD	protein-coding
b0206	aspU	ECK0206	tRNA
b2688	gshA	ECK2683|gsh-I	protein-coding
b0179	lpxD	ECK0178|firA|omsA	protein-coding
b4385	hipH	ECK4377|yjjJ	protein-coding
b0202	ileV	ECK0202	tRNA
b2526	hscA	ECK2523|hsc	protein-coding
b0037	caiC	ECK0038|yaaM	protein-coding
b0186	ldcC	ECK0185|ldc|ldcH	protein-coding
b0180	fabZ	ECK0179|sabA1|sefA|sfhC21|yaeA	protein-coding
b0188	tilS	ECK0187|mesJ|yaeN	protein-coding
b0203	alaV	ECK0203	tRNA
b0189	rof	ECK0188|yaeO	protein-coding
b0193	yaeF	ECK0193|yaeK	protein-coding
b0197	metQ	ECK0197|metD|yaeC	protein-coding
b0198	metI	ECK0198|metD|yaeE	protein-coding
b0185	accA	ECK0184	protein-coding
b0199	metN	ECK0199|abc|metD	protein-coding
b0201	rrsH	ECK0201	rRNA
b0205	rrfH	ECK0205	rRNA
b0227	yafL	ECK0228	protein-coding
b0204	rrlH	ECK0204	rRNA
b0207	dkgB	ECK0207|yafB	protein-coding
b0212	gloB	ECK0212|yafR	protein-coding
b0213	yafS	ECK0213	protein-coding
b0405	queA	ECK0399|tsaA	protein-coding
b0223	yafJ	ECK0224	protein-coding
b3119	tdcR	ECK3108	protein-coding
b0229	lfhA	ECK0230|fhiA	pseudo
b0455	ffs	ECK0449	ncRNA
b0224	dpaA	ECK0225|ldtF|yafK	protein-coding
b0225	yafQ	ECK0226	protein-coding
b0234	yafP	ECK0235	protein-coding
b0228	rayT	ECK0229|yafM	protein-coding
b0226	dinJ	ECK0227|sosA	protein-coding
b0233	yafO	ECK0234	protein-coding
b0656	insH3	ECK0261|trs5-3|yi52_3	protein-coding
b0429	cyoD	ECK0423	protein-coding
b0052	pdxA	ECK0053	protein-coding
b0232	yafN	ECK0233	protein-coding
b0230	lafU	ECK0231|mbhA	pseudo
b0231	dinB	ECK0232|dinP	protein-coding
b2743	pcm	ECK2738	protein-coding
b0235	ykfJ	ECK0236	pseudo
b0268	yagE	ECK0269	protein-coding
b0241	phoE	ECK0242|ompE	protein-coding
b1593	bidA	ECK1588|ynfK	protein-coding
b0269	yagF	ECK0270	protein-coding
b0246	yafW	ECK0247	protein-coding
b0247	ykfG	ECK0249	protein-coding
b0248	yafX	ECK0250	protein-coding
b1428	ydcK	ECK1421	protein-coding
b4017	arpA	ECK4009|arp|yjaC	protein-coding
b0251	yafY	ECK0253	protein-coding
b1279	lapA	ECK1274|yciS	protein-coding
b0267	yagA	ECK0268	protein-coding
b0807	rlmF	ECK0796|ybiN	protein-coding
b0051	rsmA	ECK0052|ksgA	protein-coding
b0258	ykfC	ECK0260	protein-coding
b0259	insH1	ECK0261|trs5|trs5-1|yi52_1	protein-coding
b1432	insQ	ECK1426|tnpB|ydcM	protein-coding
b0756	galM	ECK0745	protein-coding
b0266	yagB	ECK0267	protein-coding
b2252	ais	ECK2245|pagH|pmrG	protein-coding
b0265	insA2	ECK0023	protein-coding
b0270	yagG	ECK0271	protein-coding
b0299	insF1	ECK0299|tra5-5	protein-coding
b0271	yagH	ECK0272	protein-coding
b0274	insB3	ECK0022	protein-coding
b0275	insA3	ECK0023	protein-coding
b0298	insE1	ECK0298	protein-coding
b1656	sodB	ECK1652	protein-coding
b0349	mhpC	ECK0346	protein-coding
b0870	ltaE	ECK0861|ltaA|ybjU	protein-coding
b0300	ykgA	ECK0300	pseudo
b0297	eaeH	ECK0297	pseudo
b0133	panC	ECK0132	protein-coding
b0279	yagM	ECK0278	protein-coding
b0296	ykgM	ECK0296	protein-coding
b0284	paoC	ECK0283|yagR	protein-coding
b0295	ykgL	ECK0294	protein-coding
b2712	hypF	ECK2707|hydA	protein-coding
b2813	mltA	ECK2809|mlt|ygdM	protein-coding
b1756	ynjD	ECK1754	protein-coding
b0294	matA	ECK0293|ecpR|ykgK	protein-coding
b0814	ompX	ECK0803|ompP|ybiG	protein-coding
b0328	yahN	ECK0326	protein-coding
b0327	yahM	ECK0325	protein-coding
b0326	yahL	ECK0324	protein-coding
b2314	dedD	ECK2308	protein-coding
b0521	ybcF	ECK0514|arcC	protein-coding
b1524	glsB	ECK1517|yneH	protein-coding
b0301	rclC	ECK0301|ykgB	protein-coding
b0325	yahK	ECK0323	protein-coding
b0324	yahJ	ECK0322	protein-coding
b0534	sfmF	ECK0527|ybcG	protein-coding
