bnumber	symbol	synonyms	type
b2541	hcaB	ECK2538|phdD|yfhX	protein-coding
b0734	cydB	ECK0722|cyd-2	protein-coding
b0752	zitB	ECK0741|ybgR	protein-coding
b0280	yagN	ECK0279	protein-coding
b0751	pnuC	ECK0740	protein-coding
b0750	nadA	ECK0739|nicA	protein-coding
b0748	lysZ	ECK0737	tRNA
b0749	lysQ	ECK0738	tRNA
b0759	galE	ECK0748|galD	protein-coding
b0731	mngA	ECK0719|frx|hrsA	protein-coding
b0753	ybgS	ECK0742	protein-coding
b0758	galT	ECK0747|galB	protein-coding
b0757	galK	ECK0746|galA	protein-coding
b0732	mngB	ECK0720|ybgG	protein-coding
b0815	opgE	ECK0804|ybiP	protein-coding
b0764	modB	ECK0753|chlJ|tslJ	protein-coding
b0765	modC	ECK0754|chlD|narD	protein-coding
b0486	ybaT	ECK0480	protein-coding
b0763	modA	ECK0752	protein-coding
b0762	acrZ	ECK0751|ybhT	protein-coding
b0761	modE	ECK0750|chlD|modR	protein-coding
b0531	sfmC	ECK0524	protein-coding
b0760	modF	ECK0749|chlD|phrA	protein-coding
b3025	qseB	ECK3016|ygiX	protein-coding
b0775	bioB	ECK0764	protein-coding
b0730	mngR	ECK0718|farR|ybgB	protein-coding
b0766	ybhA	ECK0755	protein-coding
b0252	yafZ	ECK0254	protein-coding
b0407	yajC	ECK0401	protein-coding
b0769	ybhH	ECK0758	protein-coding
b0774	bioA	ECK0763	protein-coding
b0770	ybhI	ECK0759	protein-coding
b2183	rsuA	ECK2177|yejD	protein-coding
b0321	yahG	ECK0319	protein-coding
b0771	ybhJ	ECK0760	protein-coding
b0772	ybhC	ECK0761	protein-coding
b1713	pheT	ECK1711	protein-coding
b0773	ybhB	ECK0762	protein-coding
b0776	bioF	ECK0765	protein-coding
b0779	uvrB	ECK0768|dar-1|dar-6	protein-coding
b0778	bioD	ECK0767	protein-coding
b0777	bioC	ECK0766	protein-coding
b2942	metK	ECK2937|metX	protein-coding
b0780	ybhK	ECK0769	protein-coding
b1128	roxA	ECK1114|ycfD	protein-coding
b0781	moaA	ECK0770|bisA|chlA|chlA1|narA	protein-coding
b2826	ppdA	ECK2822	protein-coding
b0507	gcl	ECK0500	protein-coding
b0782	moaB	ECK0771|chlA2	protein-coding
b0783	moaC	ECK0772|chlA3	protein-coding
b0784	moaD	ECK0773|chlA4|chlM	protein-coding
b0785	moaE	ECK0774|chlA5	protein-coding
b3795	thrP	ECK3788|yifK	protein-coding
b0786	ybhL	ECK0775	protein-coding
b0723	sdhA	ECK0712|dhsA	protein-coding
b0792	ybhR	ECK0781	protein-coding
b2082	ogrK	ECK2079	protein-coding
b0791	ybhQ	ECK0780	protein-coding
b0616	citE	ECK0609|ybdW	protein-coding
b0533	sfmH	ECK0526	protein-coding
b0790	ybhP	ECK0779	protein-coding
b0789	clsB	ECK0778|ybhO	protein-coding
b0788	ybhN	ECK0777	protein-coding
b0793	ybhS	ECK0782	protein-coding
b0801	hcxB	ECK0790|ybiC	protein-coding
b0794	ybhF	ECK0783	protein-coding
b0795	ybhG	ECK0784	protein-coding
b0617	citD	ECK0610|ybdX	protein-coding
b2356	yfdM	ECK2350|yzyB	protein-coding
b0254	perR	ECK0256	protein-coding
b1516	lsrB	ECK1509|yneA	protein-coding
b2689	yqaA	ECK2684	protein-coding
b3006	exbB	ECK2999	protein-coding
b0796	cecR	ECK0785|ybiH	protein-coding
b0692	potE	ECK0680	protein-coding
b0392	ykiA	ECK0387	pseudo
b0800	ybiB	ECK0789	protein-coding
b0797	rhlE	ECK0786	protein-coding
b0798	ybiA	ECK0787	protein-coding
b2542	hcaD	ECK2539|hcaa4|phdA|yfhY	protein-coding
b2963	mltC	ECK2958|yggZ	protein-coding
b0740	tolB	ECK0729|lky|lkyA|tol-3	protein-coding
b2941	yqgD	ECK2936	protein-coding
b0799	dinG	ECK0788|rarB	protein-coding
b0822	ybiV	ECK0812	protein-coding
b0802	ybiJ	ECK0791	protein-coding
b0803	ybiI	ECK0792	protein-coding
b0809	glnQ	ECK0798	protein-coding
b0817	mntR	ECK0807|ybiQ	protein-coding
b0818	ybiR	ECK0808	protein-coding
b0821	ybiU	ECK0811	protein-coding
b0820	ybiT	ECK0810	protein-coding
b0819	ldtB	ECK0809|ybiS	protein-coding
b1892	flhD	ECK1893|flbB	protein-coding
b0654	gltJ	ECK0647	protein-coding
b0823	ybiW	ECK0813|pflF	protein-coding
b0824	ybiY	ECK0814|pflE	protein-coding
b1302	puuE	ECK1297|goaG	protein-coding
b0843	ybjH	ECK0833	protein-coding
b0842	mdfA	ECK0832|cmlA|cmr	protein-coding
b0825	fsaA	ECK0815|fsa|mipB|ybiZ	protein-coding
b0841	ybjG	ECK0831	protein-coding
b2315	folC	ECK2309|dedC	protein-coding
b0826	moeB	ECK0816|chlN	protein-coding
b0840	deoR	ECK0830|nucR	protein-coding
b0827	moeA	ECK0817|bisB|chlE|narE	protein-coding
b0839	dacC	ECK0829	protein-coding
b0828	iaaA	ECK0818|spt|ybiK	protein-coding
b0829	gsiA	ECK0819|yliA	protein-coding
b2140	dusC	ECK2133|yohI	protein-coding
b0830	gsiB	ECK0820|yliB	protein-coding
b0831	gsiC	ECK0821|yliC	protein-coding
b0832	gsiD	ECK0822|yliD	protein-coding
b0833	pdeI	ECK0823|yliE	protein-coding
b0834	dgcI	ECK0824|yliF	protein-coding
b2470	acrD	ECK2465|yffA	protein-coding
b0835	rimO	ECK0825|yliG	protein-coding
b0836	bssR	ECK0826|yliH	protein-coding
b0837	yliI	ECK0827	protein-coding
b3226	nanR	ECK3215|yhcK	protein-coding
b0838	gstB	ECK0828|yliJ	protein-coding
b0844	ybjI	ECK0834	protein-coding
b0845	ybjJ	ECK0835	protein-coding
b1712	ihfA	ECK1710|hid|himA	protein-coding
b0846	rcdA	ECK0836|ybjK	protein-coding
b0847	ybjL	ECK0838	protein-coding
b0856	potH	ECK0847	protein-coding
b0855	potG	ECK0846	protein-coding
b0848	ybjM	ECK0839	protein-coding
b2249	yfaY	ECK2242	protein-coding
b0849	grxA	ECK0840|grx	protein-coding
b0854	potF	ECK0845	protein-coding
b0850	ybjC	ECK0841	protein-coding
b0853	ybjN	ECK0844	protein-coding
b0851	nfsA	ECK0842|mda18|mdaA|ybjB	protein-coding
b0852	rimK	ECK0843|nek	protein-coding
b0857	potI	ECK0848	protein-coding
b2348	argW	ECK2342	tRNA
b1069	murJ	ECK1054|mviN|yceN	protein-coding
b0858	ybjO	ECK0849	protein-coding
b0864	artP	ECK0855	protein-coding
b0885	aat	ECK0876|ycaA	protein-coding
b0865	ybjP	ECK0856	protein-coding
b1112	bhsA	ECK1098|comC|ycfR	protein-coding
b0866	ybjQ	ECK0857	protein-coding
b0867	amiD	ECK0858|ybjR	protein-coding
b0868	ybjS	ECK0859	protein-coding
b0869	ybjT	ECK0860	protein-coding
b0875	aqpZ	ECK0866|bniP	protein-coding
b0876	ybjD	ECK0867	protein-coding
b1306	pspC	ECK1301	protein-coding
b0884	infA	ECK0875|bypA1	protein-coding
b0883	serW	ECK0874	tRNA
b0896	dmsC	ECK0887	protein-coding
b0651	rihA	ECK0644|ybeK	protein-coding
b0886	cydC	ECK0877|mdrA|mdrH|surB|ycaB	protein-coding
b0892	rarA	ECK0883|mgsA|ycaJ	protein-coding
b0893	serS	ECK0884	protein-coding
b0895	dmsB	ECK0886	protein-coding
b0894	dmsA	ECK0885	protein-coding
b0905	ycaO	ECK0896	protein-coding
b1594	mlc	ECK1589|dgsA	protein-coding
b0593	entC	ECK0586|fepF	protein-coding
b0897	ycaC	ECK0888	protein-coding
b0904	focA	ECK0895|ycaE	protein-coding
b0903	pflB	ECK0894|pfl	protein-coding
b0898	ycaD	ECK0889	protein-coding
b0464	acrR	ECK0458|ybaH	protein-coding
b0902	pflA	ECK0893|act	protein-coding
b0899	ycaM	ECK0890	protein-coding
b1262	trpC	ECK1256|trpCF|trpF	protein-coding
b0901	ycaK	ECK0892	protein-coding
b0434	yajG	ECK0428	protein-coding
b0530	sfmA	ECK0523	protein-coding
b0900	ycaN	ECK0891	protein-coding
b0916	ycaQ	ECK0907|alkZ	protein-coding
b0906	ycaP	ECK0897	protein-coding
b0915	lpxK	ECK0906|ycaH	protein-coding
b0907	serC	ECK0898|pdxC|pdxF	protein-coding
b0908	aroA	ECK0899	protein-coding
b2184	radD	ECK2178|yejH|yejI|yejJ	protein-coding
b0914	msbA	ECK0905	protein-coding
b0913	ycaI	ECK0904	protein-coding
b1488	ddpX	ECK1482|vanX|yddT	protein-coding
b0912	ihfB	ECK0903|himD|hip	protein-coding
b0909	ycaL	ECK0900	protein-coding
b0910	cmk	ECK0901|mssA|ycaF|ycaG	protein-coding
b0911	rpsA	ECK0902|ssyF	protein-coding
b0917	ycaR	ECK0908	protein-coding
b0926	mepK	ECK0917|ycbK	protein-coding
b0918	kdsB	ECK0909	protein-coding
b2278	nuoL	ECK2272	protein-coding
b0925	ldtD	ECK0916|ycbB	protein-coding
b1521	uxaB	ECK1514	protein-coding
b2102	yegX	ECK2095	protein-coding
b2205	napG	ECK2197|yojA|yojB	protein-coding
b0919	ycbJ	ECK0910	protein-coding
b0920	elyC	ECK0911|ycbC	protein-coding
b0921	cmoM	ECK0912|smtA|ycbD	protein-coding
b0922	mukF	ECK0913|kicB	protein-coding
b0924	mukB	ECK0915	protein-coding
b0923	mukE	ECK0914|kicA|ycbA	protein-coding
b0927	gloC	ECK0918|ycbL	protein-coding
b0946	zapC	ECK0937|ycbW	protein-coding
b0928	aspC	ECK0919	protein-coding
b0929	ompF	ECK0920|cmlB|cry|nfxB|tolF	protein-coding
b0930	asnS	ECK0921|lcs|tss	protein-coding
b0945	pyrD	ECK0936	protein-coding
b0935	ssuD	ECK0926|ssi6|ycbN	protein-coding
b0468	ybaN	ECK0462	protein-coding
b0944	ycbF	ECK0935	protein-coding
b0936	ssuA	ECK0927|ycbO	protein-coding
b0942	ycbU	ECK0933	protein-coding
b0943	ycbV	ECK0934	protein-coding
b0947	ycbX	ECK0938	protein-coding
b0948	rlmL	ECK0939|rlmK|rlmKL|ycbY	protein-coding
b2359	yfdP	ECK2353	protein-coding
b0949	uup	ECK0940|ycbH|ycbI	protein-coding
b0953	rmf	ECK0944|res|rimF	protein-coding
b0954	fabA	ECK0945	protein-coding
b0955	ycbZ	ECK0946	protein-coding
b0956	matP	ECK0947|ycbG	protein-coding
b0957	ompA	ECK0948|con|tolG|tut	protein-coding
b0977	hyaF	ECK0968	protein-coding
b0976	hyaE	ECK0967	protein-coding
b0963	mgsA	ECK0954|mgs|yccG	protein-coding
b0975	hyaD	ECK0966	protein-coding
b2917	scpA	ECK2913|sbm|yliK	protein-coding
b0964	csgI	ECK0955|yccT	protein-coding
b0966	hspQ	ECK0957|yccV	protein-coding
b0972	hyaA	ECK0963	protein-coding
b0973	hyaB	ECK0964	protein-coding
b0974	hyaC	ECK0965|cybH	protein-coding
b2346	mlaA	ECK2340|vacJ	protein-coding
b2617	bamE	ECK2613|smpA|smqA	protein-coding
b1027	insE4	ECK0298	protein-coding
b0978	appC	ECK0969|cbdA|cyxA	protein-coding
b0983	gfcE	ECK0974|yccZ	protein-coding
b1026	insF4	ECK0299|tra5-3	protein-coding
b0984	gfcD	ECK0975|ymcA	protein-coding
b1028	ymdE	ECK1016	pseudo
b0989	cspH	ECK0979|cspK	protein-coding
b0990	cspG	ECK0980	protein-coding
b1029	ycdU	ECK1017	protein-coding
b1025	dgcT	ECK1015|ycdT	protein-coding
b0961	yccF	ECK0952	protein-coding
b0993	torS	ECK0984|yccI	protein-coding
b1024	pgaA	ECK1014|hmsH|ycdS	protein-coding
b0999	cbpM	ECK0990|yccD	protein-coding
b4518	ymdF	ECK0996	protein-coding
b1010	rutC	ECK1001|ycdK	protein-coding
b1014	putA	ECK1005|poaA|putC	protein-coding
b1055	trhO	ECK1040|yceA	protein-coding
b1015	putP	ECK1006|putC	protein-coding
b1018	efeO	ECK1008|ycdO	protein-coding
b1023	pgaB	ECK1013|hmsF|ycdR	protein-coding
b0754	aroG	ECK0743	protein-coding
b1022	pgaC	ECK1012|hmsR|ycdQ	protein-coding
b1670	ydhU	ECK1666	protein-coding
b1035	ycdY	ECK1021	protein-coding
b2518	ndk	ECK2514	protein-coding
b1051	msyB	ECK1037	protein-coding
b1050	yceK	ECK1036	protein-coding
b2619	ratA	ECK2615|yfjG	protein-coding
b0431	cyoB	ECK0425	protein-coding
b0305	rclR	ECK0304|ykgD	protein-coding
b1036	ycdZ	ECK1022|nupT	protein-coding
b2185	rplY	ECK2179	protein-coding
b1037	csgG	ECK1023	protein-coding
b0414	ribD	ECK0408|nusII|ribG|ybaE	protein-coding
b0810	glnP	ECK0799	protein-coding
b1038	csgF	ECK1024	protein-coding
b1043	csgC	ECK1029|ycdE	protein-coding
b1049	opgH	ECK1035|mdoA|mdoH	protein-coding
b0998	torD	ECK0989	protein-coding
b1695	ydiO	ECK1693	protein-coding
b1053	mdtG	ECK1038|yceE	protein-coding
b1057	yceJ	ECK1042	protein-coding
b1058	yceO	ECK1043	protein-coding
b0101	yacG	ECK0101	protein-coding
b1087	yceF	ECK1072	protein-coding
b1727	hxpB	ECK1725|yniC	protein-coding
b1067	yceH	ECK1052	protein-coding
b1070	flgN	ECK1055	protein-coding
b1307	pspD	ECK1302	protein-coding
b1076	flgE	ECK1061|flaK	protein-coding
b1086	rluC	ECK1071|yceC	protein-coding
b1589	ynfG	ECK1584	protein-coding
b1077	flgF	ECK1062|flaX	protein-coding
b1085	yceQ	ECK1070	protein-coding
b1084	rne	ECK1069|ams|hmp1|smbB	protein-coding
b0071	leuD	ECK0073	protein-coding
b1012	rutA	ECK1003|ycdM	protein-coding
b1728	ydjM	ECK1726	protein-coding
b1093	fabG	ECK1079	protein-coding
b1083	flgL	ECK1068|flaT	protein-coding
b1078	flgG	ECK1063|flaL	protein-coding
b1082	flgK	ECK1067|flaS	protein-coding
b1102	fhuE	ECK1088	protein-coding
b1088	yceD	ECK1074	protein-coding
b1101	ptsG	CR|ECK1087|car|cat|catB2|glcA|gptA|tgl|umg|umgC	protein-coding
b1308	pspE	ECK1303	protein-coding
b0951	pqiB	ECK0942|pqi5|pqi5B	protein-coding
b4384	deoD	ECK4376|pup	protein-coding
b1193	emtA	ECK1181|mltE|sltZ|ycgP	protein-coding
b1100	ycfH	ECK1086	protein-coding
b1089	rpmF	ECK1075	protein-coding
b0303	rclB	ECK0302|ykgI	protein-coding
b1309	ycjM	ECK1304|ggaP	protein-coding
b1097	mltG	ECK1083|yceG	protein-coding
b1099	holB	ECK1085	protein-coding
b1909	leuZ	ECK1908	tRNA
b1098	tmk	ECK1084|ycfG	protein-coding
b1119	nagK	ECK1105|ycfX	protein-coding
b1118	lolE	ECK1104|ycfW	protein-coding
b1113	ldtC	ECK1099|ycfS	protein-coding
b3403	pck	ECK3390|pckA	protein-coding
b2636	yfjS	ECK2632	protein-coding
b0880	cspD	ECK0871|cspH|ybjA	protein-coding
b1117	lolD	ECK1103|ycfV	protein-coding
b1107	nagZ	ECK1093|ycfO	protein-coding
b1415	aldA	ECK1408|ald	protein-coding
b1116	lolC	ECK1102|ycfU	protein-coding
b0342	lacA	ECK0339	protein-coding
b1792	yeaO	ECK1790	protein-coding
b1108	ycfP	ECK1094	protein-coding
b0287	yagU	ECK0286	protein-coding
b1073	flgB	ECK1058|flbA	protein-coding
b1115	ycfT	ECK1101	protein-coding
b1513	lsrA	ECK1506|ego|ydeX	protein-coding
b1114	mfd	ECK1100	protein-coding
b1123	potD	ECK1109	protein-coding
b1303	pspF	ECK1298|ycjB	protein-coding
b1122	ymfA	ECK1108	protein-coding
b1121	ycfZ	ECK1107	protein-coding
b0131	panD	ECK0130	protein-coding
b1120	cobB	ECK1106|ycfY	protein-coding
b1698	ydiR	ECK1696	protein-coding
b1134	nudJ	ECK1120|ymfB	protein-coding
b1133	mnmA	ECK1119|asuE|trmU|ycfB	protein-coding
b1124	potC	ECK1110	protein-coding
b1125	potB	ECK1111	protein-coding
b1132	hflD	ECK1118|hslZ|ycfC	protein-coding
b0211	mltD	ECK0211|dniR|yafG	protein-coding
b1131	purB	ECK1117|ade|ade(h)	protein-coding
b1310	ycjN	ECK1305	protein-coding
b1130	phoP	ECK1116	protein-coding
b1151	beeE	ECK1137|ymfO	protein-coding
b1011	rutB	ECK1002|ycdL	protein-coding
b1150	ymfR	ECK1136	protein-coding
b1135	rluE	ECK1121|ymfC	protein-coding
b1136	icd	ECK1122|icdA|icdE	protein-coding
b1152	jayE	ECK1138|ymfP	pseudo
b1141	xisE	ECK1127|ymfG	protein-coding
b1142	ymfH	ECK1128	protein-coding
b1153	ymfQ	ECK1139	protein-coding
b1149	ymfN	ECK1135	protein-coding
b2505	yfgH	ECK2501	protein-coding
b0285	paoB	ECK0284|yagS	protein-coding
b1039	csgE	ECK1025	protein-coding
b1143	ymfI	ECK1129	protein-coding
b0682	chiQ	ECK0670|ybfN	protein-coding
b1032	serX	ECK1018	tRNA
b1148	ymfM	ECK1134|sfiC	protein-coding
b0311	betA	ECK0309	protein-coding
b1147	ymfL	ECK1133	protein-coding
b1144	ymfJ	ECK1130	protein-coding
b1145	ymfK	ECK1131|cohE	protein-coding
b1146	ymfT	ECK1132|croE	protein-coding
b1158	pinE	ECK1144|pin	protein-coding
b1157	stfE	ECK1143|ycfE	pseudo
b1156	tfaE	ECK1142|ycfA	protein-coding
b1155	tfaP	ECK1141|ymfS	protein-coding
b1234	rssA	ECK1229|ychK	protein-coding
b1154	ycfK	ECK1140|stfP	protein-coding
b1159	mcrA	ECK1145|rglA	protein-coding
b1172	ymgG	ECK1159	protein-coding
b1160	iraM	ECK1147|elb1|elbA|ycgW	protein-coding
b1236	galU	ECK1231|ychD	protein-coding
b1461	pptA	ECK1455|ydcE	protein-coding
b1171	ymgD	ECK1158	protein-coding
b1161	ycgX	ECK1148	protein-coding
b1162	bluR	ECK1149|ycgE	protein-coding
b1472	yddL	ECK1466	protein-coding
b1168	pdeG	ECK1155|ycgG	protein-coding
b1174	minE	ECK1162|minB	protein-coding
b1175	minD	ECK1163|minB	protein-coding
b1338	abgA	ECK1334|ydaJ	protein-coding
b1201	dhaR	ECK1189|ycgU	protein-coding
b1176	minC	ECK1164|minB	protein-coding
b1182	hlyE	ECK1170|clyA|hpr|sheA|ycgD	protein-coding
b1183	umuD	ECK1171	protein-coding
b1200	dhaK	ECK1188|dhaK1|ycgT	protein-coding
b1199	dhaL	ECK1187|dhaK2|ycgS|ysgS	protein-coding
b1198	dhaM	ECK1186|dhaH|ptsD|ycgC	protein-coding
b0668	glnW	ECK0658|glnU-beta|glnUbeta	tRNA
b1709	btuD	ECK1707	protein-coding
b1189	dadA	ECK1177|dadR	protein-coding
b1683	sufB	ECK1679|ynhE	protein-coding
b1190	dadX	ECK1178|alnA|alnB|dadB	protein-coding
b1191	cvrA	ECK1179|ycgO	protein-coding
b1192	ldcA	ECK1180|ycgQ	protein-coding
b1197	treA	ECK1185|osmA|tre	protein-coding
b1635	gstA	ECK1631|gst	protein-coding
b0540	insE3	ECK0298	protein-coding
b1195	ymgE	ECK1183|tag	protein-coding
b1196	ycgY	ECK1184	protein-coding
b1205	ychH	ECK1193	protein-coding
b1277	ribA	ECK1272	protein-coding
b0882	clpA	ECK0873|lopD	protein-coding
b1204	pth	ECK1192|rap	protein-coding
b1092	fabD	ECK1078|tfpA	protein-coding
b1202	ycgV	ECK1190	protein-coding
b1261	trpB	ECK1255	protein-coding
b1203	ychF	ECK1191|gtp1	protein-coding
b1206	dauA	ECK1194|ychM	protein-coding
b1275	cysB	ECK1269	protein-coding
b1207	prs	ECK1195|dnaR|prsA	protein-coding
b1002	agp	ECK0993	protein-coding
b1208	ispE	ECK1196|ipk|ychB	protein-coding
b1209	lolB	ECK1197|hemM|ychC	protein-coding
b2690	yqaB	ECK2685	protein-coding
b1210	hemA	ECK1198|gtrA	protein-coding
b0578	nfsB	ECK0570|dprA|nfnB|ntr	protein-coding
b1212	prmC	ECK1200|hemK	protein-coding
b1225	narH	ECK1219|chlC	protein-coding
b1213	ychQ	ECK1201|sirB2	protein-coding
b1224	narG	ECK1218|chlC|narC	protein-coding
b1223	narK	ECK1217	protein-coding
b1214	ychA	ECK1202|sirB1	protein-coding
b1215	kdsA	ECK1203	protein-coding
b1668	ydhS	ECK1664	protein-coding
b1062	pyrC	ECK1047	protein-coding
b1222	narX	ECK1216|frd1|frdR|narR	protein-coding
b4335	yjiM	ECK4326	protein-coding
b1216	chaA	ECK1210	protein-coding
b1912	pgsA	ECK1911	protein-coding
b1217	chaB	ECK1211	protein-coding
b1218	chaC	ECK1212	protein-coding
b1219	ychN	ECK1213	protein-coding
b1221	narL	ECK1215|frdR|narR	protein-coding
b2246	yfaV	ECK2239	protein-coding
b2823	ppdC	ECK2819|ygdA	protein-coding
b0624	crcB	ECK0617|ybeI	protein-coding
b1469	narU	ECK1463|yddF	protein-coding
b1894	insA5	ECK0023	protein-coding
b1220	ychO	ECK1214|ychP	protein-coding
b1246	oppD	ECK1240	protein-coding
b0002	thrA	ECK0002|Hs|thrA1|thrA2|thrD	protein-coding
b1181	ycgN	ECK1169	protein-coding
b3023	ygiV	ECK3014	protein-coding
b0106	hofC	ECK0105|hopC|yacD	protein-coding
b1226	narJ	ECK1220	protein-coding
b1227	narI	ECK1221|chlI	protein-coding
b1228	ychS	ECK1222	protein-coding
b1245	oppC	ECK1239	protein-coding
b1230	tyrV	ECK1225|tyrTbeta	tRNA
b0443	fadM	ECK0437|tesC|ybaW	protein-coding
b1075	flgD	ECK1060|flaV	protein-coding
b3021	mqsA	ECK3012|ygiT	protein-coding
b1489	dosP	ECK1483|dos|pdeO|yddU	protein-coding
b2946	rsmE	ECK2941|yggJ	protein-coding
b0108	ppdD	ECK0107	protein-coding
b1247	oppF	ECK1241	protein-coding
b1248	yciU	ECK1242	protein-coding
b1231	tyrT	ECK1226|Su-3|Su-4|su(c)|suIII|supC|supFsupO|tyrTalpha	tRNA
b1249	clsA	ECK1243|cls|nov|yciJ	protein-coding
b1590	ynfH	ECK1585	protein-coding
b1244	oppB	ECK1238	protein-coding
b0710	ybgI	ECK0699	protein-coding
b1530	marR	ECK1523|cfxB|inaR|soxQ	protein-coding
b2870	ygeW	ECK2866	protein-coding
b1232	purU	ECK1227|tgs|ychI	protein-coding
b1233	ychJ	ECK1228	protein-coding
b1237	hns	B1|ECK1232|H1|bglY|cur|drc|drdX|drs|fimG|hnsA|irk|msyA|osmZ|pilG|topS|topX|virR	protein-coding
b1243	oppA	ECK1237	protein-coding
b1339	abgR	ECK1335	protein-coding
b2271	yfbL	ECK2265	protein-coding
b1388	paaA	ECK1385|ydbO	protein-coding
b1238	tdk	ECK1233	protein-coding
b1490	dosC	ECK1484|dgcO|yddV	protein-coding
b1242	ychE	ECK1236	protein-coding
b1241	adhE	ECK1235|adhC|ana	protein-coding
b1271	yciK	ECK1265	protein-coding
b1270	btuR	ECK1264|cobA	protein-coding
b1269	rluB	ECK1263|yciL	protein-coding
b1250	kch	ECK1244	protein-coding
b2804	fucU	ECK2799	protein-coding
b1252	tonB	ECK1246|T1rec|exbA	protein-coding
b1255	yciC	ECK1249	protein-coding
b0278	yagL	ECK0277	protein-coding
b1264	trpE	ECK1258|anth|tryD|tryp-4	protein-coding
b0277	yagK	ECK0276	protein-coding
b1662	ribC	ECK1658|ribE	protein-coding
b0569	nfrB	ECK0561	protein-coding
b1268	yciQ	ECK1262|yciP	protein-coding
b1623	add	ECK1618	protein-coding
b1429	tehA	ECK1422	protein-coding
b1335	ogt	ECK1331	protein-coding
b1267	yciO	ECK1261	protein-coding
b1235	rssB	ECK1230|hnr|sprE|ychL	protein-coding
b1265	trpL	ECK1259|trpEE	protein-coding
b1266	rnm	ECK1260|trpH|yciV	protein-coding
b1272	sohB	ECK1266	protein-coding
b1287	yciW	ECK1282	protein-coding
b1273	yciN	ECK1267	protein-coding
b1542	ydfI	ECK1535	protein-coding
b1274	topA	ECK1268|supX	protein-coding
b1278	pgpB	ECK1273	protein-coding
b1286	rnb	ECK1281	protein-coding
b2465	tktB	ECK2460	protein-coding
b1283	osmB	ECK1278	protein-coding
b1893	insB5	ECK0022	protein-coding
b1285	pdeR	ECK1280|gmr|yciR	protein-coding
b1284	yciT	ECK1279|deoT	protein-coding
b1288	fabI	ECK1283|envM|gts|qmeA	protein-coding
b1289	ycjD	ECK1284	protein-coding
b1321	ycjX	ECK1317	protein-coding
b1294	sapA	ECK1289	protein-coding
b1295	ymjA	ECK1290	protein-coding
b1320	ycjW	ECK1316	protein-coding
b1444	patD	ECK1438|prr|ydcW	protein-coding
b1711	btuC	ECK1709	protein-coding
b1322	ycjF	ECK1318	protein-coding
b1323	tyrR	ECK1319	protein-coding
b1324	tpx	ECK1320|yzzJ	protein-coding
b2247	rhmD	ECK2240|yfaW	protein-coding
b1298	puuD	ECK1293|ycjL	protein-coding
b1663	mdtK	ECK1659|norE|norM|ydhE	protein-coding
b0442	ybaV	ECK0436|comEA	protein-coding
b1164	ycgZ	ECK1151	protein-coding
b1299	puuR	ECK1294|ycjC	protein-coding
b1304	pspA	ECK1299|cog	protein-coding
b1311	ycjO	ECK1306	protein-coding
b1319	ompG	ECK1315	protein-coding
b1318	ycjV	ECK1313	pseudo
b1317	ycjU	ECK1312|pgmB	protein-coding
b1312	ycjP	ECK1307	protein-coding
b1305	pspB	ECK1300	protein-coding
b2493	yfgO	ECK2489|perM	protein-coding
b1316	ycjT	ECK1311	protein-coding
b1331	insH4	ECK0261|trs5-4|yi52_4	protein-coding
b2969	yghE	ECK2964|ecfB	protein-coding
b1330	ynaI	ECK1327	protein-coding
b1356	racR	ECK1354|rarC|ydaR	protein-coding
b1332	ynaJ	ECK1328	protein-coding
b2997	hybO	ECK2991|yghV	protein-coding
b1443	ydcV	ECK1437	protein-coding
b1333	uspE	ECK1329|ydaA	protein-coding
b0288	ykgJ	ECK0287	protein-coding
b0308	ykgG	ECK0307	protein-coding
b1355	ydaG	ECK1353|gatA	protein-coding
b1334	fnr	ECK1330|nirA|nirR|ossA|oxrA	protein-coding
b1341	dgcM	ECK1338|ydaM	protein-coding
b1342	zntB	ECK1339|ydaN	protein-coding
b4527	ydaF	ECK1352	protein-coding
b1336	abgT	ECK1332|ydaH	protein-coding
b1353	sieB	ECK1351	protein-coding
b1348	ralR	ECK1345|lar|ydaB	protein-coding
b1710	btuE	ECK1708	protein-coding
b1446	ydcY	ECK1440	protein-coding
b1349	recT	ECK1346	protein-coding
b1350	recE	ECK1347|rac|rmuB|sbcA	protein-coding
b3013	yqhG	ECK3005|yqhF	protein-coding
b1351	racC	ECK1348|sbcA	protein-coding
b1352	kilR	ECK1350|kil|ydaD	protein-coding
b1499	ydeO	ECK1493	protein-coding
b1357	ydaS	ECK1355	protein-coding
b1358	ydaT	ECK1356	protein-coding
b1359	ydaU	ECK1357	protein-coding
b1360	ydaV	ECK1358	protein-coding
b1361	ydaW	ECK1359	protein-coding
b1362	rzpR	ECK1360|ydaX	pseudo
b0556	rzpD	ECK0547|ybcT	protein-coding
b1328	pgrR	ECK1325|ycjZ	protein-coding
b0334	prpD	ECK0331|acnC|yahT	protein-coding
b1363	trkG	ECK1362	protein-coding
b1385	feaB	ECK1382|padA|ydbG	protein-coding
b0808	ybiO	ECK0797	protein-coding
b1445	ortT	ECK1439|ydcX	protein-coding
b1622	malY	ECK1617	protein-coding
b0346	mhpR	ECK0343	protein-coding
b1386	tynA	ECK1383|feaA|maoA	protein-coding
b1395	paaH	ECK1392|hbdH|ydbU	protein-coding
b1384	feaR	ECK1381|maoB|maoX|ydbM	protein-coding
b1473	yddG	ECK1467	protein-coding
b1383	ydbL	ECK1380	protein-coding
